768.0	0.0
770.0	0.0
772.0	0.0
774.0	0.0
776.0	0.0
778.0	0.0
780.0	0.0
782.0	0.0
784.0	0.0
786.0	0.0
788.0	0.0
790.0	0.001
792.0	0.001
794.0	0.001
796.0	0.001
798.0	0.002
800.0	0.002
802.0	0.003
804.0	0.004
806.0	0.006
808.0	0.008
810.0	0.011
812.0	0.013
814.0	0.017
816.0	0.021
818.0	0.026
820.0	0.031
822.0	0.036
824.0	0.042
826.0	0.047
828.0	0.052
830.0	0.057
832.0	0.062
834.0	0.066
836.0	0.071
838.0	0.074
840.0	0.077
842.0	0.08
844.0	0.082
846.0	0.085
848.0	0.086
850.0	0.087
852.0	0.088
854.0	0.089
856.0	0.09
858.0	0.091
860.0	0.091
862.0	0.091
864.0	0.092
866.0	0.092
868.0	0.091
870.0	0.091
872.0	0.09
874.0	0.089
876.0	0.088
878.0	0.087
880.0	0.085
882.0	0.084
884.0	0.082
886.0	0.081
888.0	0.079
890.0	0.077
892.0	0.076
894.0	0.074
896.0	0.072
898.0	0.07
900.0	0.069
902.0	0.067
904.0	0.066
906.0	0.064
908.0	0.063
910.0	0.061
912.0	0.06
914.0	0.059
916.0	0.057
918.0	0.056
920.0	0.055
922.0	0.054
924.0	0.052
926.0	0.051
928.0	0.05
930.0	0.049
932.0	0.048
934.0	0.046
936.0	0.045
938.0	0.044
940.0	0.043
942.0	0.042
944.0	0.041
946.0	0.04
948.0	0.039
950.0	0.038
952.0	0.037
954.0	0.036
956.0	0.035
958.0	0.034
960.0	0.033
962.0	0.032
964.0	0.031
966.0	0.03
968.0	0.029
970.0	0.028
972.0	0.027
974.0	0.026
976.0	0.025
978.0	0.024
980.0	0.023
982.0	0.022
984.0	0.021
986.0	0.02
988.0	0.019
990.0	0.018
992.0	0.017
994.0	0.016
996.0	0.015
998.0	0.014
1000.0	0.013
1002.0	0.013
1004.0	0.012
1006.0	0.011
1008.0	0.011
1010.0	0.01
1012.0	0.009
1014.0	0.009
1016.0	0.008
1018.0	0.007
1020.0	0.007
1022.0	0.007
1024.0	0.006
1026.0	0.006
1028.0	0.005
1030.0	0.005
1032.0	0.004
1034.0	0.004
1036.0	0.003
1038.0	0.003
1040.0	0.003
1042.0	0.003
1044.0	0.003
1046.0	0.002
1048.0	0.002
1050.0	0.002
1052.0	0.002
1054.0	0.002
1056.0	0.002
1058.0	0.002
1060.0	0.001
1062.0	0.001
1064.0	0.001
1066.0	0.001
1068.0	0.001
1070.0	0.001
1072.0	0.001
1074.0	0.001
1076.0	0.001
1078.0	0.001
1080.0	0.001
1082.0	0.001
1084.0	0.001
1086.0	0.001
1088.0	0.001
1090.0	0.001
1092.0	0.001
1094.0	0.0
1096.0	0.0
1098.0	0.0
1100.0	0.0
1102.0	0.0
1104.0	0.0
1106.0	0.0
1108.0	0.0
1110.0	0.0
1112.0	0.0
1114.0	0.0
1116.0	0.0
